Gene_name,Pathway,E18_Vs_LU3,E18_Vs_LU4,LI1_Vs_LU3,LI1_Vs_LU4,LI2_Vs_LU3,LI2_Vs_LU4,LI3_Vs_LU3,LI3_Vs_LU4,cLTMR1,cLTMR2,NF1,NF2,NF3,NP,PEP1,PEP2,SST,Z.2days,Z.4days,Z.7days,Z.12days,NRGcs_2d,T5RGCs_2d,TRGCs_2d,Cartpt_2d,Alpha_RGCS_7D,Cartpt_RGCS_7D,F_RGCS_7d,T_RGCS_7d,ipRGCs_7D,T5_RGCS_7d
Actb,axon development,2.572337623,2.450410762,0,0,0,0,0,0,0.91400333,1.693495143,0.31559171,0.705869308,0.309834782,0.753833597,0.520491358,1.055251234,0.560605127,0.719668079,0.845173501,0.884967639,0.398548729,0,0,0,0,0,0,0,-0.284732123,0,0
Actb,neuron projection development,2.572337623,2.450410762,0,0,0,0,0,0,0.91400333,1.693495143,0.31559171,0.705869308,0.309834782,0.753833597,0.520491358,1.055251234,0.560605127,0.719668079,0.845173501,0.884967639,0.398548729,0,0,0,0,0,0,0,-0.284732123,0,0
Actb,neuron development,2.572337623,2.450410762,0,0,0,0,0,0,0.91400333,1.693495143,0.31559171,0.705869308,0.309834782,0.753833597,0.520491358,1.055251234,0.560605127,0.719668079,0.845173501,0.884967639,0.398548729,0,0,0,0,0,0,0,-0.284732123,0,0
Actb,axonogenesis,2.572337623,2.450410762,0,0,0,0,0,0,0.91400333,1.693495143,0.31559171,0.705869308,0.309834782,0.753833597,0.520491358,1.055251234,0.560605127,0.719668079,0.845173501,0.884967639,0.398548729,0,0,0,0,0,0,0,-0.284732123,0,0
Actb,generation of neurons,2.572337623,2.450410762,0,0,0,0,0,0,0.91400333,1.693495143,0.31559171,0.705869308,0.309834782,0.753833597,0.520491358,1.055251234,0.560605127,0.719668079,0.845173501,0.884967639,0.398548729,0,0,0,0,0,0,0,-0.284732123,0,0
Actb,neuron differentiation,2.572337623,2.450410762,0,0,0,0,0,0,0.91400333,1.693495143,0.31559171,0.705869308,0.309834782,0.753833597,0.520491358,1.055251234,0.560605127,0.719668079,0.845173501,0.884967639,0.398548729,0,0,0,0,0,0,0,-0.284732123,0,0
Actb,nervous system development,2.572337623,2.450410762,0,0,0,0,0,0,0.91400333,1.693495143,0.31559171,0.705869308,0.309834782,0.753833597,0.520491358,1.055251234,0.560605127,0.719668079,0.845173501,0.884967639,0.398548729,0,0,0,0,0,0,0,-0.284732123,0,0
Actb,structural constituent of cytoskeleton,2.572337623,2.450410762,0,0,0,0,0,0,0.91400333,1.693495143,0.31559171,0.705869308,0.309834782,0.753833597,0.520491358,1.055251234,0.560605127,0.719668079,0.845173501,0.884967639,0.398548729,0,0,0,0,0,0,0,-0.284732123,0,0
Actb,neurogenesis,2.572337623,2.450410762,0,0,0,0,0,0,0.91400333,1.693495143,0.31559171,0.705869308,0.309834782,0.753833597,0.520491358,1.055251234,0.560605127,0.719668079,0.845173501,0.884967639,0.398548729,0,0,0,0,0,0,0,-0.284732123,0,0
Actg1,structural constituent of cytoskeleton,2.316195632,2.390065807,-0.235158164,-0.145872663,-0.250187452,-0.160901951,-0.169796319,0,0.645718627,1.742513428,0.325132732,0.704382696,0.267140984,0.688991536,0.70703164,1.500682945,0.845641038,,,,,0,0,0,0,0,0,0,0,0,0
Actg1,positive regulation of cell motility,2.316195632,2.390065807,-0.235158164,-0.145872663,-0.250187452,-0.160901951,-0.169796319,0,0.645718627,1.742513428,0.325132732,0.704382696,0.267140984,0.688991536,0.70703164,1.500682945,0.845641038,,,,,0,0,0,0,0,0,0,0,0,0
Actg1,Regulation of cellular component movement,2.316195632,2.390065807,-0.235158164,-0.145872663,-0.250187452,-0.160901951,-0.169796319,0,0.645718627,1.742513428,0.325132732,0.704382696,0.267140984,0.688991536,0.70703164,1.500682945,0.845641038,,,,,0,0,0,0,0,0,0,0,0,0
Actg1,regulation of cell migration,2.316195632,2.390065807,-0.235158164,-0.145872663,-0.250187452,-0.160901951,-0.169796319,0,0.645718627,1.742513428,0.325132732,0.704382696,0.267140984,0.688991536,0.70703164,1.500682945,0.845641038,,,,,0,0,0,0,0,0,0,0,0,0
Auts2,neuron development,1.86952394,1.761076315,0,0,0,0,0,0,-0.054298609,0.553811623,-0.092564796,0.203374192,-0.274590275,-0.518387195,-0.197261098,-0.08287265,-0.24329025,,,,,0,0,0,0.260530321,0,0,0,-0.271882815,0,0
Auts2,generation of neurons,1.86952394,1.761076315,0,0,0,0,0,0,-0.054298609,0.553811623,-0.092564796,0.203374192,-0.274590275,-0.518387195,-0.197261098,-0.08287265,-0.24329025,,,,,0,0,0,0.260530321,0,0,0,-0.271882815,0,0
Auts2,axon development,1.86952394,1.761076315,0,0,0,0,0,0,-0.054298609,0.553811623,-0.092564796,0.203374192,-0.274590275,-0.518387195,-0.197261098,-0.08287265,-0.24329025,,,,,0,0,0,0.260530321,0,0,0,-0.271882815,0,0
Auts2,axonogenesis,1.86952394,1.761076315,0,0,0,0,0,0,-0.054298609,0.553811623,-0.092564796,0.203374192,-0.274590275,-0.518387195,-0.197261098,-0.08287265,-0.24329025,,,,,0,0,0,0.260530321,0,0,0,-0.271882815,0,0
Auts2,nervous system development,1.86952394,1.761076315,0,0,0,0,0,0,-0.054298609,0.553811623,-0.092564796,0.203374192,-0.274590275,-0.518387195,-0.197261098,-0.08287265,-0.24329025,,,,,0,0,0,0.260530321,0,0,0,-0.271882815,0,0
Auts2,neuron projection development,1.86952394,1.761076315,0,0,0,0,0,0,-0.054298609,0.553811623,-0.092564796,0.203374192,-0.274590275,-0.518387195,-0.197261098,-0.08287265,-0.24329025,,,,,0,0,0,0.260530321,0,0,0,-0.271882815,0,0
Auts2,neurogenesis,1.86952394,1.761076315,0,0,0,0,0,0,-0.054298609,0.553811623,-0.092564796,0.203374192,-0.274590275,-0.518387195,-0.197261098,-0.08287265,-0.24329025,,,,,0,0,0,0.260530321,0,0,0,-0.271882815,0,0
Auts2,neuron differentiation,1.86952394,1.761076315,0,0,0,0,0,0,-0.054298609,0.553811623,-0.092564796,0.203374192,-0.274590275,-0.518387195,-0.197261098,-0.08287265,-0.24329025,,,,,0,0,0,0.260530321,0,0,0,-0.271882815,0,0
Bhlhe22,neurogenesis,1.695348597,1.704575545,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0.288197574,0,0,0,0,0,0,0,0,0
